Sample time: 1.0 s | File Format: TEMP P1 P2 FREQ X Y VALVES
36.1875 0 0 2000.0 643.0 745.0 ['0', '0', '0', '0', '0', '0', '0', '0']
36.125 0 0 2000.0 641.0 745.0 ['0', '0', '0', '0', '0', '0', '0', '0']
36.25 0 0 2000.0 643.0 745.0 ['0', '0', '0', '0', '0', '0', '0', '0']
36.25 0 0 2000.0 643.0 745.0 ['0', '0', '0', '0', '0', '0', '0', '0']
36.25 0 0 2000.0 641.0 743.0 ['0', '0', '0', '0', '0', '0', '0', '0']
36.25 0 0 2000.0 641.0 745.0 ['0', '1', '1', '1', '1', '1', '1', '1']
36.3125 0 0 2000.0 641.0 745.0 ['0', '1', '1', '1', '1', '1', '1', '1']
36.25 0 0 2000.0 643.0 741.0 ['0', '1', '1', '1', '1', '1', '1', '1']
36.4375 0 0 2000.0 641.0 743.0 ['0', '1', '1', '1', '1', '1', '1', '1']
36.4375 0 0 2000.0 641.0 745.0 ['0', '1', '1', '1', '1', '1', '1', '1']
36.4375 0 0 2000.0 643.0 743.0 ['0', '0', '0', '0', '0', '0', '0', '0']
36.375 0 0 2000.0 643.0 743.0 ['0', '0', '0', '0', '0', '0', '0', '0']
36.5 0 0 2000.0 643.0 741.0 ['0', '0', '0', '0', '0', '0', '0', '0']
36.5 0 0 2000.0 643.0 745.0 ['0', '0', '0', '0', '0', '0', '0', '0']
36.5 0 0 2000.0 641.0 741.0 ['0', '0', '0', '0', '0', '0', '0', '0']
